Crop,Type,Min_Rain,Max_Rain,Min_N,Min_P,Min_K,Seasons,Irrig_Need,Duration,Flood_Tol
Paddy,Food grain,1200,2000,20,15,80,Kharif/Rabi,Yes,120,High
Sugarcane,Commercial,1500,3000,40,35,120,Annual,Yes,365,High
Banana,Fruit,1500,2500,25,20,100,Perennial,Yes,300,Medium
Maize,Food grain,500,800,15,10,60,Kharif,Optional,100,Low
Groundnut,Oilseed,500,1000,10,10,60,Kharif,No,110,Low
Millet,Food grain,300,700,10,8,40,Kharif/Rabi,No,100,Low
Cotton,Commercial,600,1100,25,20,100,Kharif,Optional,150,Low
Turmeric,Spice,1000,1500,30,25,90,Kharif,Yes,240,Low
Blackgram,Pulse,400,800,10,10,60,Rabi,No,90,Low
Greengram,Pulse,400,700,10,10,60,Rabi,No,90,Low
Sorghum,Cereal,450,800,15,10,50,Rabi,No,120,Medium
Tomato,Vegetable,600,1000,20,15,80,All,Optional,90,Medium
Brinjal,Vegetable,500,1200,20,15,80,All,Optional,100,Medium
Bhendi,Vegetable,600,1000,20,15,80,All,Optional,90,Medium
Coconut,Plantation,1000,2500,25,20,100,Perennial,Yes,300,Medium
